id,question,supported,retrieved_count,top_similarity,sources,answer,hit_at_k,reciprocal_rank,relevant_rank,retrieval_rejected,keyword_coverage,answer_abstained
HB001,How many days per week can employees work remotely?,True,4,0.7033544182777405,"[{""source"": ""ExampleCompanyPolicy.txt"", ""page"": null, ""similarity"": 0.7034}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 3, ""similarity"": 0.653}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 11, ""similarity"": 0.4639}, {""source"": ""ITSecurityPolicy.txt"", ""page"": null, ""similarity"": 0.4542}]",3 days per week.,1,0.5,2,False,1.0,False
HB002,By what time must an employee report sickness?,True,4,0.7020303010940552,"[{""source"": ""EmployeeHandbook.pdf"", ""page"": 5, ""similarity"": 0.702}, {""source"": ""ExampleCompanyPolicy.txt"", ""page"": null, ""similarity"": 0.5983}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 5, ""similarity"": 0.6906}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 4, ""similarity"": 0.4626}]",9:00 a.m.,1,1.0,1,False,1.0,False
HB003,How quickly must a suspected personal data incident be reported?,True,4,0.7122724652290344,"[{""source"": ""EmployeeHandbook.pdf"", ""page"": 7, ""similarity"": 0.7123}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 6, ""similarity"": 0.4457}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 10, ""similarity"": 0.363}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 7, ""similarity"": 0.4366}]",within one hour of discovery.,1,1.0,1,False,1.0,False
HB004,What is the maximum hotel expense per night in London?,True,2,0.6595187187194824,"[{""source"": ""EmployeeHandbook.pdf"", ""page"": 8, ""similarity"": 0.6595}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 8, ""similarity"": 0.3237}]",£150.,1,1.0,1,False,1.0,False
HB005,What is the annual professional development budget?,True,2,0.6247742474079132,"[{""source"": ""EmployeeHandbook.pdf"", ""page"": 9, ""similarity"": 0.6248}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 9, ""similarity"": 0.4055}]",£750.,1,1.0,1,False,1.0,False
HB006,How much can remote employees claim for home-working equipment?,True,4,0.7271604239940643,"[{""source"": ""EmployeeHandbook.pdf"", ""page"": 11, ""similarity"": 0.7272}, {""source"": ""ExampleCompanyPolicy.txt"", ""page"": null, ""similarity"": 0.4757}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 11, ""similarity"": 0.3991}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 3, ""similarity"": 0.3854}]",£250.,1,1.0,1,False,1.0,False
UN001,What is the CEO's salary?,False,0,,[],I could not find sufficient information in the supplied documents.,,,,True,,True
UN002,What is the company's current share price?,False,0,,[],I could not find sufficient information in the supplied documents.,,,,True,,True
UN003,When does the company's office lease expire?,False,2,0.35358893871307373,"[{""source"": ""EmployeeHandbook.pdf"", ""page"": 4, ""similarity"": 0.3536}, {""source"": ""ITSecurityPolicy.txt"", ""page"": null, ""similarity"": 0.3149}]",I could not find sufficient information in the supplied documents.,,,,False,,True
UN004,What was the company's revenue last financial year?,False,0,,[],I could not find sufficient information in the supplied documents.,,,,True,,True
