id,category,split,question,supported,required_evidence_groups,retrieved_count,top_similarity,sources,answer,prompt_token_usage,hit_at_k,evidence_recall,reciprocal_rank,relevant_rank,retrieval_rejected,keyword_coverage,answer_abstained
DS001,direct_supported,tune,What is the standard full-time working week in hours?,True,1,3,0.7139474749565125,"[{""source"": ""EmployeeHandbook.pdf"", ""page"": 3, ""chunk_id"": 5, ""similarity"": 0.7139}, {""source"": ""ExampleCompanyPolicy.txt"", ""page"": null, ""chunk_id"": 32, ""similarity"": 0.4784}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 4, ""chunk_id"": 7, ""similarity"": 0.4489}]",37.5 hours.,"{""tokens_before_truncation"": 507, ""tokens_after_truncation"": 507, ""model_max_input_tokens"": 512, ""truncated_tokens"": 0, ""prompt_truncated"": false, ""context_fully_retained"": true, ""question_fully_retained"": true}",1,1.0,1.0,1,False,1.0,False
DS002,direct_supported,tune,How many days per week may eligible employees work remotely?,True,1,4,0.7018676400184631,"[{""source"": ""ExampleCompanyPolicy.txt"", ""page"": null, ""chunk_id"": 32, ""similarity"": 0.7019}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 3, ""chunk_id"": 5, ""similarity"": 0.6655}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 4, ""chunk_id"": 9, ""similarity"": 0.4951}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 3, ""chunk_id"": 6, ""similarity"": 0.484}]","Overseas working Working from another country requires written approval from People & Culture, Tax and Information Security before travel. Employees must not assume that a personal holiday destination can be used as a temporary work location.","{""tokens_before_truncation"": 549, ""tokens_after_truncation"": 512, ""model_max_input_tokens"": 512, ""truncated_tokens"": 37, ""prompt_truncated"": true, ""context_fully_retained"": false, ""question_fully_retained"": false}",1,1.0,0.5,2,False,0.0,False
DS003,direct_supported,test,How many days of paid annual leave do full-time employees receive?,True,1,4,0.7468366026878357,"[{""source"": ""EmployeeHandbook.pdf"", ""page"": 4, ""chunk_id"": 7, ""similarity"": 0.7468}, {""source"": ""ExampleCompanyPolicy.txt"", ""page"": null, ""chunk_id"": 32, ""similarity"": 0.7008}, {""source"": ""ExampleCompanyPolicy.txt"", ""page"": null, ""chunk_id"": 33, ""similarity"": 0.528}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 4, ""chunk_id"": 8, ""similarity"": 0.5103}]",I could not find sufficient information in the supplied documents.,"{""tokens_before_truncation"": 606, ""tokens_after_truncation"": 512, ""model_max_input_tokens"": 512, ""truncated_tokens"": 94, ""prompt_truncated"": true, ""context_fully_retained"": false, ""question_fully_retained"": false}",1,1.0,1.0,1,False,0.0,True
DS004,direct_supported,tune,How many unused annual-leave days may normally be carried into the next holiday year?,True,1,4,0.644627034664154,"[{""source"": ""EmployeeHandbook.pdf"", ""page"": 4, ""chunk_id"": 8, ""similarity"": 0.6446}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 4, ""chunk_id"": 9, ""similarity"": 0.595}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 4, ""chunk_id"": 7, ""similarity"": 0.5811}, {""source"": ""ExampleCompanyPolicy.txt"", ""page"": null, ""chunk_id"": 32, ""similarity"": 0.4887}]",Employees should submit the request at least 10 working days in advance.,"{""tokens_before_truncation"": 559, ""tokens_after_truncation"": 512, ""model_max_input_tokens"": 512, ""truncated_tokens"": 47, ""prompt_truncated"": true, ""context_fully_retained"": false, ""question_fully_retained"": false}",1,1.0,1.0,1,False,0.0,False
DS005,direct_supported,tune,By what time must an employee normally report sickness on the first day of absence?,True,1,4,0.727175235748291,"[{""source"": ""EmployeeHandbook.pdf"", ""page"": 5, ""chunk_id"": 10, ""similarity"": 0.7272}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 5, ""chunk_id"": 11, ""similarity"": 0.7208}, {""source"": ""ExampleCompanyPolicy.txt"", ""page"": null, ""chunk_id"": 33, ""similarity"": 0.592}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 4, ""chunk_id"": 9, ""similarity"": 0.4468}]","[Source 1: Employee Handbook (Fictional RAG Test Document) Page 5 4. Sickness Absence and Wellbeing 4.1 Reporting sickness If an employee is unable to work because of illness, they must notify their line manager by 9:00 a.m. on the first day of absence, or as soon as reasonably possible in an emergency. A text message should only be used where the manager has agreed that method. 4.2 Certification [Source 2: EmployeeHandbook.pdf, page 5] 4.2 Certification Employees may self-certify sickness for the first seven calendar days. For an absence lasting more than seven calendar days, a fit note or other acceptable medical evidence is required. 4.3 Return to work Manager","{""tokens_before_truncation"": 542, ""tokens_after_truncation"": 512, ""model_max_input_tokens"": 512, ""truncated_tokens"": 30, ""prompt_truncated"": true, ""context_fully_retained"": true, ""question_fully_retained"": false}",1,1.0,1.0,1,False,1.0,False
DS006,direct_supported,tune,For how many calendar days may an employee self-certify sickness?,True,1,4,0.7546503841876984,"[{""source"": ""EmployeeHandbook.pdf"", ""page"": 5, ""chunk_id"": 11, ""similarity"": 0.7547}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 5, ""chunk_id"": 10, ""similarity"": 0.6093}, {""source"": ""ExampleCompanyPolicy.txt"", ""page"": null, ""chunk_id"": 33, ""similarity"": 0.5536}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 4, ""chunk_id"": 9, ""similarity"": 0.5247}]","[Source 1: Employee Handbook.pdf, page 5]","{""tokens_before_truncation"": 539, ""tokens_after_truncation"": 512, ""model_max_input_tokens"": 512, ""truncated_tokens"": 27, ""prompt_truncated"": true, ""context_fully_retained"": true, ""question_fully_retained"": false}",1,1.0,1.0,1,False,0.0,False
DS007,direct_supported,test,How often must corporate passwords be changed?,True,1,2,0.7904858887195587,"[{""source"": ""ITSecurityPolicy.txt"", ""page"": null, ""chunk_id"": 36, ""similarity"": 0.7905}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 6, ""chunk_id"": 13, ""similarity"": 0.6202}]",Every 90 days.,"{""tokens_before_truncation"": 363, ""tokens_after_truncation"": 363, ""model_max_input_tokens"": 512, ""truncated_tokens"": 0, ""prompt_truncated"": false, ""context_fully_retained"": true, ""question_fully_retained"": true}",1,1.0,1.0,1,False,1.0,False
DS008,direct_supported,tune,How quickly must a lost or stolen company device be reported?,True,1,4,0.7621768265962601,"[{""source"": ""EmployeeHandbook.pdf"", ""page"": 6, ""chunk_id"": 14, ""similarity"": 0.7622}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 7, ""chunk_id"": 17, ""similarity"": 0.5352}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 11, ""chunk_id"": 28, ""similarity"": 0.4837}, {""source"": ""ITSecurityPolicy.txt"", ""page"": null, ""chunk_id"": 36, ""similarity"": 0.454}]",Information Security within two hours of discovery.,"{""tokens_before_truncation"": 552, ""tokens_after_truncation"": 512, ""model_max_input_tokens"": 512, ""truncated_tokens"": 40, ""prompt_truncated"": true, ""context_fully_retained"": false, ""question_fully_retained"": false}",1,1.0,1.0,1,False,1.0,False
DS009,direct_supported,tune,How quickly must a suspected personal-data incident be reported?,True,1,3,0.7045370042324066,"[{""source"": ""EmployeeHandbook.pdf"", ""page"": 7, ""chunk_id"": 17, ""similarity"": 0.7045}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 7, ""chunk_id"": 16, ""similarity"": 0.4365}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 6, ""chunk_id"": 14, ""similarity"": 0.4328}]",within one hour of discovery,"{""tokens_before_truncation"": 487, ""tokens_after_truncation"": 487, ""model_max_input_tokens"": 512, ""truncated_tokens"": 0, ""prompt_truncated"": false, ""context_fully_retained"": true, ""question_fully_retained"": true}",1,1.0,1.0,1,False,1.0,False
DS010,direct_supported,tune,What is the standard hotel cap per night in London?,True,1,1,0.5983771085739136,"[{""source"": ""EmployeeHandbook.pdf"", ""page"": 8, ""chunk_id"": 19, ""similarity"": 0.5984}]",£150 per night,"{""tokens_before_truncation"": 301, ""tokens_after_truncation"": 301, ""model_max_input_tokens"": 512, ""truncated_tokens"": 0, ""prompt_truncated"": false, ""context_fully_retained"": true, ""question_fully_retained"": true}",1,1.0,1.0,1,False,1.0,False
