id,category,split,question,supported,evidence_requirement,retrieved_count,top_similarity,sources,answer,hit_at_k,evidence_recall,reciprocal_rank,relevant_rank,retrieval_rejected,keyword_coverage,answer_abstained
DS001,direct_supported,tune,What is the standard full-time working week in hours?,True,any,3,0.7139474451541901,"[{""source"": ""EmployeeHandbook.pdf"", ""page"": 3, ""chunk_id"": 5, ""similarity"": 0.7139}, {""source"": ""ExampleCompanyPolicy.txt"", ""page"": null, ""chunk_id"": 32, ""similarity"": 0.4784}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 4, ""chunk_id"": 7, ""similarity"": 0.4489}]",,1,1.0,1.0,1,False,,
DS002,direct_supported,tune,How many days per week may eligible employees work remotely?,True,any,4,0.7018676698207855,"[{""source"": ""ExampleCompanyPolicy.txt"", ""page"": null, ""chunk_id"": 32, ""similarity"": 0.7019}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 3, ""chunk_id"": 5, ""similarity"": 0.6655}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 4, ""chunk_id"": 9, ""similarity"": 0.4951}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 3, ""chunk_id"": 6, ""similarity"": 0.484}]",,1,1.0,0.5,2,False,,
DS004,direct_supported,tune,How many unused annual-leave days may normally be carried into the next holiday year?,True,any,4,0.6446271538734436,"[{""source"": ""EmployeeHandbook.pdf"", ""page"": 4, ""chunk_id"": 8, ""similarity"": 0.6446}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 4, ""chunk_id"": 9, ""similarity"": 0.595}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 4, ""chunk_id"": 7, ""similarity"": 0.5811}, {""source"": ""ExampleCompanyPolicy.txt"", ""page"": null, ""chunk_id"": 32, ""similarity"": 0.4887}]",,1,1.0,1.0,1,False,,
DS005,direct_supported,tune,By what time must an employee normally report sickness on the first day of absence?,True,any,4,0.7271753549575806,"[{""source"": ""EmployeeHandbook.pdf"", ""page"": 5, ""chunk_id"": 10, ""similarity"": 0.7272}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 5, ""chunk_id"": 11, ""similarity"": 0.7208}, {""source"": ""ExampleCompanyPolicy.txt"", ""page"": null, ""chunk_id"": 33, ""similarity"": 0.592}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 4, ""chunk_id"": 9, ""similarity"": 0.4468}]",,1,1.0,1.0,1,False,,
DS006,direct_supported,tune,For how many calendar days may an employee self-certify sickness?,True,any,4,0.7546504437923431,"[{""source"": ""EmployeeHandbook.pdf"", ""page"": 5, ""chunk_id"": 11, ""similarity"": 0.7547}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 5, ""chunk_id"": 10, ""similarity"": 0.6093}, {""source"": ""ExampleCompanyPolicy.txt"", ""page"": null, ""chunk_id"": 33, ""similarity"": 0.5536}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 4, ""chunk_id"": 9, ""similarity"": 0.5247}]",,1,1.0,1.0,1,False,,
DS008,direct_supported,tune,How quickly must a lost or stolen company device be reported?,True,any,4,0.7621768265962601,"[{""source"": ""EmployeeHandbook.pdf"", ""page"": 6, ""chunk_id"": 14, ""similarity"": 0.7622}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 7, ""chunk_id"": 17, ""similarity"": 0.5352}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 11, ""chunk_id"": 28, ""similarity"": 0.4837}, {""source"": ""ITSecurityPolicy.txt"", ""page"": null, ""chunk_id"": 36, ""similarity"": 0.454}]",,1,1.0,1.0,1,False,,
DS009,direct_supported,tune,How quickly must a suspected personal-data incident be reported?,True,any,3,0.7045369446277618,"[{""source"": ""EmployeeHandbook.pdf"", ""page"": 7, ""chunk_id"": 17, ""similarity"": 0.7045}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 7, ""chunk_id"": 16, ""similarity"": 0.4365}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 6, ""chunk_id"": 14, ""similarity"": 0.4328}]",,1,1.0,1.0,1,False,,
DS010,direct_supported,tune,What is the standard hotel cap per night in London?,True,any,1,0.5983771085739136,"[{""source"": ""EmployeeHandbook.pdf"", ""page"": 8, ""chunk_id"": 19, ""similarity"": 0.5984}]",,1,1.0,1.0,1,False,,
DS012,direct_supported,tune,"How much may eligible remote workers claim for approved home-working equipment, and how often?",True,any,2,0.7086912393569946,"[{""source"": ""EmployeeHandbook.pdf"", ""page"": 11, ""chunk_id"": 27, ""similarity"": 0.7087}, {""source"": ""ExampleCompanyPolicy.txt"", ""page"": null, ""chunk_id"": 32, ""similarity"": 0.4593}]",,1,1.0,1.0,1,False,,
PS001,paraphrased_supported,tune,Which teams must approve working from another country before an employee travels?,True,any,2,0.6732046604156494,"[{""source"": ""EmployeeHandbook.pdf"", ""page"": 3, ""chunk_id"": 6, ""similarity"": 0.6732}, {""source"": ""ExampleCompanyPolicy.txt"", ""page"": null, ""chunk_id"": 34, ""similarity"": 0.4618}]",,1,1.0,1.0,1,False,,
PS003,paraphrased_supported,tune,"If someone plans to take a full working week off, how far in advance should they normally request it?",True,any,4,0.5577486157417297,"[{""source"": ""EmployeeHandbook.pdf"", ""page"": 4, ""chunk_id"": 8, ""similarity"": 0.5577}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 4, ""chunk_id"": 9, ""similarity"": 0.5293}, {""source"": ""ExampleCompanyPolicy.txt"", ""page"": null, ""chunk_id"": 32, ""similarity"": 0.5273}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 4, ""chunk_id"": 7, ""similarity"": 0.5197}]",,1,1.0,1.0,1,False,,
PS004,paraphrased_supported,tune,By what date should carried-over annual leave normally be used?,True,any,4,0.6744992136955261,"[{""source"": ""EmployeeHandbook.pdf"", ""page"": 4, ""chunk_id"": 8, ""similarity"": 0.6745}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 4, ""chunk_id"": 7, ""similarity"": 0.5558}, {""source"": ""ExampleCompanyPolicy.txt"", ""page"": null, ""chunk_id"": 32, ""similarity"": 0.5051}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 4, ""chunk_id"": 9, ""similarity"": 0.4786}]",,1,1.0,1.0,1,False,,
PS006,paraphrased_supported,tune,What extra authentication control is compulsory when accessing company systems remotely?,True,any,4,0.659295916557312,"[{""source"": ""EmployeeHandbook.pdf"", ""page"": 6, ""chunk_id"": 13, ""similarity"": 0.6593}, {""source"": ""ITSecurityPolicy.txt"", ""page"": null, ""chunk_id"": 36, ""similarity"": 0.535}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 3, ""chunk_id"": 6, ""similarity"": 0.4926}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 6, ""chunk_id"": 15, ""similarity"": 0.44}]",,1,1.0,1.0,1,False,,
PS007,paraphrased_supported,tune,Where must company or customer data not be stored outside approved company systems?,True,any,2,0.5036453008651733,"[{""source"": ""EmployeeHandbook.pdf"", ""page"": 7, ""chunk_id"": 16, ""similarity"": 0.5036}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 7, ""chunk_id"": 17, ""similarity"": 0.5}]",,1,1.0,1.0,1,False,,
PS008,paraphrased_supported,tune,How long after a transaction does an employee normally have to submit a valid business expense?,True,any,4,0.6018050312995911,"[{""source"": ""EmployeeHandbook.pdf"", ""page"": 8, ""chunk_id"": 19, ""similarity"": 0.6018}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 4, ""chunk_id"": 9, ""similarity"": 0.4878}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 4, ""chunk_id"": 8, ""similarity"": 0.4714}, {""source"": ""ExampleCompanyPolicy.txt"", ""page"": null, ""chunk_id"": 33, ""similarity"": 0.4457}]",,1,1.0,1.0,1,False,,
PS010,paraphrased_supported,tune,"If raising a concern with a line manager would be inappropriate, what confidential route can an employee use instead?",True,any,4,0.5976355075836182,"[{""source"": ""EmployeeHandbook.pdf"", ""page"": 2, ""chunk_id"": 3, ""similarity"": 0.5976}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 10, ""chunk_id"": 25, ""similarity"": 0.5671}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 12, ""chunk_id"": 30, ""similarity"": 0.5569}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 10, ""chunk_id"": 24, ""similarity"": 0.4716}]",,1,1.0,0.5,2,False,,
CP001,cross_policy_multi_document,tune,"Do EmployeeHandbook.pdf and ITSecurityPolicy.txt agree on how often corporate passwords must be changed, and what interval do they state?",True,all,4,0.7271877527236938,"[{""source"": ""ITSecurityPolicy.txt"", ""page"": null, ""chunk_id"": 36, ""similarity"": 0.7272}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 6, ""chunk_id"": 13, ""similarity"": 0.6727}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 7, ""chunk_id"": 16, ""similarity"": 0.4597}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 12, ""chunk_id"": 31, ""similarity"": 0.4423}]",,1,1.0,1.0,1,False,,
CP003,cross_policy_multi_document,tune,What deadline for reporting a lost or stolen company device is stated in both EmployeeHandbook.pdf and ITSecurityPolicy.txt?,True,all,4,0.6431659162044525,"[{""source"": ""EmployeeHandbook.pdf"", ""page"": 6, ""chunk_id"": 14, ""similarity"": 0.6432}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 7, ""chunk_id"": 17, ""similarity"": 0.4883}, {""source"": ""ITSecurityPolicy.txt"", ""page"": null, ""chunk_id"": 36, ""similarity"": 0.4823}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 11, ""chunk_id"": 28, ""similarity"": 0.4775}]",,1,1.0,1.0,1,False,,
CP004,cross_policy_multi_document,tune,Compare the reporting deadlines for a suspected personal-data incident and a lost or stolen company device.,True,all,4,0.6218162775039673,"[{""source"": ""EmployeeHandbook.pdf"", ""page"": 7, ""chunk_id"": 17, ""similarity"": 0.6218}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 6, ""chunk_id"": 14, ""similarity"": 0.5876}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 7, ""chunk_id"": 16, ""similarity"": 0.4688}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 11, ""chunk_id"": 28, ""similarity"": 0.425}]",,1,1.0,1.0,1,False,,
CP005,cross_policy_multi_document,tune,"Using both EmployeeHandbook.pdf and ITSecurityPolicy.txt, what reporting deadline applies to a lost company laptop and what authentication control do the documents require for remote access?",True,all,4,0.5387485921382904,"[{""source"": ""EmployeeHandbook.pdf"", ""page"": 6, ""chunk_id"": 14, ""similarity"": 0.5387}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 6, ""chunk_id"": 13, ""similarity"": 0.5271}, {""source"": ""ITSecurityPolicy.txt"", ""page"": null, ""chunk_id"": 36, ""similarity"": 0.5263}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 11, ""chunk_id"": 27, ""similarity"": 0.4457}]",,1,1.0,1.0,1,False,,
UN001,unsupported,tune,What is the Chief Executive Officer's salary?,False,none,0,,[],,,,,,True,,
UN002,unsupported,tune,What is the company's current share price?,False,none,0,,[],,,,,,True,,
UN003,unsupported,tune,When does the company's office lease expire?,False,none,0,,[],,,,,,True,,
UN004,unsupported,tune,What was the company's revenue in the last financial year?,False,none,0,,[],,,,,,True,,
UN006,unsupported,tune,How many weeks of enhanced maternity pay does the company provide?,False,none,0,,[],,,,,,True,,
UN007,unsupported,tune,What monthly company-car allowance is available to employees?,False,none,0,,[],,,,,,True,,
AA001,ambiguous_adversarial,tune,The handbook says every employee can work from home three days per week without approval. Is that correct?,True,any,4,0.5577289760112762,"[{""source"": ""EmployeeHandbook.pdf"", ""page"": 3, ""chunk_id"": 5, ""similarity"": 0.5577}, {""source"": ""ExampleCompanyPolicy.txt"", ""page"": null, ""chunk_id"": 32, ""similarity"": 0.5573}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 12, ""chunk_id"": 31, ""similarity"": 0.5142}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 4, ""chunk_id"": 9, ""similarity"": 0.5088}]",,1,1.0,1.0,1,False,,
AA002,ambiguous_adversarial,tune,An employee has seven unused annual-leave days. Can all seven normally be carried into the next holiday year?,True,any,4,0.6806188821792603,"[{""source"": ""EmployeeHandbook.pdf"", ""page"": 4, ""chunk_id"": 9, ""similarity"": 0.6806}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 4, ""chunk_id"": 8, ""similarity"": 0.5699}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 4, ""chunk_id"": 7, ""similarity"": 0.5252}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 5, ""chunk_id"": 11, ""similarity"": 0.466}]",,1,1.0,1.0,1,False,,
AA004,ambiguous_adversarial,tune,A London hotel costs £175 per night for an authorised business trip. Can the employee claim it automatically without prior approval?,True,any,1,0.687108039855957,"[{""source"": ""EmployeeHandbook.pdf"", ""page"": 8, ""chunk_id"": 19, ""similarity"": 0.6871}]",,1,1.0,1.0,1,False,,
