id,category,split,question,supported,required_evidence_groups,retrieved_count,top_similarity,sources,answer,prompt_token_usage,hit_at_k,evidence_recall,reciprocal_rank,relevant_rank,retrieval_rejected,keyword_coverage,answer_abstained
DS001,direct_supported,tune,What is the standard full-time working week in hours?,True,1,3,0.7139474749565125,"[{""source"": ""EmployeeHandbook.pdf"", ""page"": 3, ""chunk_id"": 5, ""similarity"": 0.7139}, {""source"": ""ExampleCompanyPolicy.txt"", ""page"": null, ""chunk_id"": 32, ""similarity"": 0.4784}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 4, ""chunk_id"": 7, ""similarity"": 0.4489}]",,null,1,1.0,1.0,1,False,,
DS002,direct_supported,tune,How many days per week may eligible employees work remotely?,True,1,4,0.7018676400184631,"[{""source"": ""ExampleCompanyPolicy.txt"", ""page"": null, ""chunk_id"": 32, ""similarity"": 0.7019}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 3, ""chunk_id"": 5, ""similarity"": 0.6655}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 4, ""chunk_id"": 9, ""similarity"": 0.4951}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 3, ""chunk_id"": 6, ""similarity"": 0.484}]",,null,1,1.0,0.5,2,False,,
DS003,direct_supported,test,How many days of paid annual leave do full-time employees receive?,True,1,4,0.7468366026878357,"[{""source"": ""EmployeeHandbook.pdf"", ""page"": 4, ""chunk_id"": 7, ""similarity"": 0.7468}, {""source"": ""ExampleCompanyPolicy.txt"", ""page"": null, ""chunk_id"": 32, ""similarity"": 0.7008}, {""source"": ""ExampleCompanyPolicy.txt"", ""page"": null, ""chunk_id"": 33, ""similarity"": 0.528}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 4, ""chunk_id"": 8, ""similarity"": 0.5103}]",,null,1,1.0,1.0,1,False,,
DS004,direct_supported,tune,How many unused annual-leave days may normally be carried into the next holiday year?,True,1,4,0.644627034664154,"[{""source"": ""EmployeeHandbook.pdf"", ""page"": 4, ""chunk_id"": 8, ""similarity"": 0.6446}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 4, ""chunk_id"": 9, ""similarity"": 0.595}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 4, ""chunk_id"": 7, ""similarity"": 0.5811}, {""source"": ""ExampleCompanyPolicy.txt"", ""page"": null, ""chunk_id"": 32, ""similarity"": 0.4887}]",,null,1,1.0,1.0,1,False,,
DS005,direct_supported,tune,By what time must an employee normally report sickness on the first day of absence?,True,1,4,0.727175235748291,"[{""source"": ""EmployeeHandbook.pdf"", ""page"": 5, ""chunk_id"": 10, ""similarity"": 0.7272}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 5, ""chunk_id"": 11, ""similarity"": 0.7208}, {""source"": ""ExampleCompanyPolicy.txt"", ""page"": null, ""chunk_id"": 33, ""similarity"": 0.592}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 4, ""chunk_id"": 9, ""similarity"": 0.4468}]",,null,1,1.0,1.0,1,False,,
DS006,direct_supported,tune,For how many calendar days may an employee self-certify sickness?,True,1,4,0.7546503841876984,"[{""source"": ""EmployeeHandbook.pdf"", ""page"": 5, ""chunk_id"": 11, ""similarity"": 0.7547}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 5, ""chunk_id"": 10, ""similarity"": 0.6093}, {""source"": ""ExampleCompanyPolicy.txt"", ""page"": null, ""chunk_id"": 33, ""similarity"": 0.5536}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 4, ""chunk_id"": 9, ""similarity"": 0.5247}]",,null,1,1.0,1.0,1,False,,
DS007,direct_supported,test,How often must corporate passwords be changed?,True,1,2,0.7904858887195587,"[{""source"": ""ITSecurityPolicy.txt"", ""page"": null, ""chunk_id"": 36, ""similarity"": 0.7905}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 6, ""chunk_id"": 13, ""similarity"": 0.6202}]",,null,1,1.0,1.0,1,False,,
DS008,direct_supported,tune,How quickly must a lost or stolen company device be reported?,True,1,4,0.7621768265962601,"[{""source"": ""EmployeeHandbook.pdf"", ""page"": 6, ""chunk_id"": 14, ""similarity"": 0.7622}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 7, ""chunk_id"": 17, ""similarity"": 0.5352}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 11, ""chunk_id"": 28, ""similarity"": 0.4837}, {""source"": ""ITSecurityPolicy.txt"", ""page"": null, ""chunk_id"": 36, ""similarity"": 0.454}]",,null,1,1.0,1.0,1,False,,
DS009,direct_supported,tune,How quickly must a suspected personal-data incident be reported?,True,1,3,0.7045370042324066,"[{""source"": ""EmployeeHandbook.pdf"", ""page"": 7, ""chunk_id"": 17, ""similarity"": 0.7045}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 7, ""chunk_id"": 16, ""similarity"": 0.4365}, {""source"": ""EmployeeHandbook.pdf"", ""page"": 6, ""chunk_id"": 14, ""similarity"": 0.4328}]",,null,1,1.0,1.0,1,False,,
DS010,direct_supported,tune,What is the standard hotel cap per night in London?,True,1,1,0.5983771085739136,"[{""source"": ""EmployeeHandbook.pdf"", ""page"": 8, ""chunk_id"": 19, ""similarity"": 0.5984}]",,null,1,1.0,1.0,1,False,,
